"","name","year","rating","title","helpful","unhelpful","text"
"29","pjdickinson","Nov 6, 2016","10","Best thing on TV since last Planet Earth",NA,NA,"The opening image of Planet Earth II contained the promise of everything to come. It was spectacular, it was beautiful, it was magical. A hot air balloon floated like a snowflake, two miles abovean Alpine.The theme of the episode was ""Islands"", and we got off to a winningly cute start with a visit to idyllic Escudo, off Panama. Its star attraction is a three-toed pygmy sloth spurred into slow motion action by the cry of a potential mate. But no doubt what most people will remember, and talk about today, were the baby iguanas running the gauntlet of swarms of racer snakes on the Galapagos island of Fernandina.how beautiful our world and its living thing .....and how beautiful and big the creator of this whole universe ....I think people have to watch this types of films which is real one ."
"30","ANONYMOUS","Dec 31, 2016","10","Excellent",NA,NA,"One of the best documentaries I 've ever seen. Every episode is a new wonderful experience,getting to know the world that surrounds us. David Attenborough is the best narrator out there and this is his latest masterpiece. The crew has worked hard and managed to capture a large aspect of wild life whether it lives on a remote island in the arctic ocean or deep in one of the large human cities in India or United States of America. It shows that they put a lot of effort and time filming this under harsh conditions,but the close up captures of wild animals in their natural environment was worth the effort. Watched it already twice and will watch it again! This is something to watch again and again with your children, until the next Planet Earth arrives. Well done!"
"31","dbijis33","Nov 19, 2016","10","One of the best documentaries I 've ever seen",NA,NA,"Plant Earth 2 was everything you would expect and more. Every scene, every vista shows that humans are the real parasites on this planet and the animals should rule us, not the other way round.However it gives me hope, it says to me people will watch this, hear about it and see the folly of our actions at some time.Hope is far better than despair.Oh David Attenborough, you are the king of us all"
"32","ANONYMOUS","Dec 28, 2016","7","In times of climate deniers, hope",NA,NA,"I never thought the original 'Planet Earth' could be topped, but 10 years on and Attenborough has given us something that is every bit as good, if not even better, than the first series.'Planet Earth II' is everything I had hoped it would be and more. Visually breathtaking, mesmerising and at times unbelievable, with expert narration by the legendary David Attenborough. Documentaries as awe-inspiring as this don't come about very often.I always enjoy the 'making of' at the end of each episode, giving us an insight into the lengths that the crew go to capture the footage. They deserve a lot more credit than they get. 'Planet Earth' is, without question, the greatest documentary ever made and a must see."
"33","dhanrajjughead","May 19, 2019","10","Breathtaking",NA,NA,"Was Planet Earth 2 good? Absolutely, it was a visual masterpiece with locations that not even the creators of Avatar could've dreamt up, animals we didn't know existed (literally) and AMAZING music.The problem lies in the fact that the ""facts"" given were all a bit loosely based on the truth. A lot of what was said is suspicion, and even some of it has been proven wrong in the years that followed. Some of what was said has been proven false even before the show was recorded, but because the most beloved nature voice (David Attenborough) said it, nobody questioned anything.Finally what really bugs me is why IMDb decided to put it in first place with only 70 000 votes and not even with as few as that can it sustain a REAL average of 9.0. It makes no sense why it is placed ahead of shows with millions of votes that average a REAL 9.3. I believe it's time that IMDb admit, this show is not #1, because the ratings don't say it is, put Breaking Bad in the position it belongs, and which it deserves."
"34","ANONYMOUS","Oct 20, 2018","10","More irritated with IMDb for the bias than with the show",NA,NA,"Stunning photography, excellent music, and the unique narration Attenborough brings make this an mini-series."
"35","NeilBarnett","Sep 29, 2017","10","Love it!",NA,NA,"This is probably the most intimate documentary I have seen of our fellow species on earth. Awesome. After having a bad day... watch this. Your problems will seem insignificant compared to life in general. We may be the top of the food chain. but this will illustrate the type of struggles we had to endure to get here. Humbling. Young people need to know their place in nature."
"36","ANONYMOUS","Nov 22, 2016","10","Should be required viewing in schools",NA,NA,"This is my first comment and I hope I am not bungling it.I have been watching nature documentaries for many years. Everyone of them has been a depiction of beauty of nature and the planet we are living in.With all the bloodshed and cruelty that is unfolding all around, committed by US human beings, it is a relief to the heart, so soothing to the mind and calming to the eye to see such an enthralling master piece. The mesmerizing scenes of birds, soaring in the blue sky, their sleek feathers glimmering in the sun, the captivating green of leaves trembling in wake of monkeys jumping over them, the enchanting scene of Nubian Ibex baby deftly climbing down the cliff, dodging the red fox, the eye relieving sight of flamingos parading in a single line and all the grandeur of mountains superimposed by the stars in the time lapse, specks of ice swaying down in the winter scene and all enrapturing beauties of nature playing out right in front of our eyes, it is all a reminder of how majestic this world is.The trance is culminated by the legendary voice of the gem, Sir. David Attenborough. He is a major part of all this beauty. All this fragile beauty and all the majesty of these creatures invokes a feeling in the viewers mind and heart that this world, nature, animals and human beings living in it are mystically intertwined, connected and linked. I also bow in respect to the crew involved in the creation of this priceless jewel, especially the cameramen, honing it to perfection. I hope more people watch such stunning documentaries so that they will admire life on Planet Earth."
"37","salmanu-27386","Oct 12, 2017","10","What a Beautiful Planet- Bewitching !",NA,NA,"Absolutely adore the first 'Planet Earth' from 2007, one of the best documentaries ever made and actually is more than that. David Attenborough (brother of director/actor Richard) is wisely considered a national treasure for very good reason, no matter how much he himself dislikes the term.So hearing that there was a second series nearly a decade later, there was absolutely no doubt as to whether to watch it. 'Planet Earth II' is as good as others have said and there is not much to add, it is along with its predecessor one of the best documentaries personally seen and most of the time it actually feels much more than that. Throughout it's an awe-inspiring, utterly transfixing experience where one forgets they're watching a documentary and instead feeling like they're watching art. This may sound like extreme hyperbole, but to me and many others 'Planet Earth II' is completely deserving of its praise and even deserving of more. To me as well, it is easily one of the best the BBC has done in years.'Planet Earth II' for starters looks amazing. It is gorgeously filmed, done in a completely fluid and natural, sometimes intimate (a great way of connecting even more with the animals), way and never looking static. In fact much of it is remarkably cinematic. The scenery and habitats are some of the most breath-taking personally seen anywhere, whether in visual media and real life, the mountains in ""Mountains"" in particular are spectacular and ""Jungles"" captures the colour, excitement and formidable danger of the jungle beautifully. The rich colours just leap out. For a composer that composes normally bombastic, rousing and pulse-racing music that is epic even in the quieter moments, Hans Zimmer's music here is a remarkably good fit, it's unmistakably Zimmer in style but throughout it not only complements the visuals but enhances them.What of the narrative aspects? Can't fault 'Planet Earth II' in this aspect either. The narration has a great well-balanced mix of facts that will be familiar to the viewer and others that will induce the right amount of surprise. In short, it's just fascinating, informative and thoughtful. This balance was even achieved in the ""Cities"" episode, that may have been the one that transfixed me the least due to being more invested in the animals and their habitats of the previous episodes.But the episode still managed to intrigue and illuminate, and credit has to go to 'Planet Earth II' for adhering to what made 'Planet Earth' work the first time and then bringing a freshness with a few nice ideas to avoid it being too stale. Attenborough delivers it beautifully, there's a soft-spoken enthusiasm and precision about his delivery and he never preaches.The animals themselves are a wonderful mix of the adorable (the penguins in ""Islands"") and the dangerous (the lions in ""Grasslands"" and ""Deserts""), and one actually finds they're rooting for them in exactly the same way they would a human character. 'Planet Earth II' contains a good deal of suspense (especially in ""Deserts"") and emotional impact (""Islands""). Even the fights/conflicts against the animals are completely riveting, some epic moments in ""Jungles"".It doesn't feel like six episodes either, and none of the episodes feel episodic or repetitive. 'Planet Earth II' instead feels like a collection of six individual stories with real, complex emotions and conflicts and animal characters developed in a way a human character would in a film but does it better than several.Overall, utterly mesmerising. For documentary lovers or fans of 'Planet Earth', 'Planet Earth II' is not to be missed at all costs and has more than enough to entice one to watch it again and again, finding something new each time and never getting tired of it. 10/10 Bethany Cox"
"38","ANONYMOUS","Dec 4, 2016","10","Like the first 'Planet Earth', does for nature and our planet as 'Walking with Dinosaurs' did with the dinosaurs",NA,NA,"It's a shame I can only give this breathtaking masterpiece 10 out of 10, it really deserves more. It is the single most astounding cinematic experience I have ever witnessed. The cinematography, narration, and score are hands down the best I have ever seen. Never has my entire family been so excited to watch the next episode of a program or movie.Planet Earth II lays out in 5 episodes life on earth in 6 separate Earth habitats: Islands, Mountains, Jungles, Deserts, Grasslands, and Cities. Each one dives into live and it's will to survive in a level you've never seen before. Truly remarkable cinematography and color will literally make you gasp for air and your eyes open wide. It truly is the greatest nature documentary ever made and possibly the greatest documentary of all time."
"39","panagiotiskatsanos","Apr 23, 2020","10","This masterpiece deserves higher scores",NA,NA,"Let me say the score, the music, the scenery, the animals and all the detail is like nothing you have seen before. When I'm dying in my bed i hope 60 years from now on my death bed this is what i want to be watching. It will give me peace on my way out of this magical and beautiful world. Just watch and see. Unfortunately for me i won't be able to go to certain parts of the world but seeing this makes me feel like I'm there."
"40","ANONYMOUS","Jan 5, 2017","10","Absolutely amazing.",NA,NA,"This is not just one of the best wildlife documentaries ever made - superbly filmed using the latest techniques and equipment – it is one of the great achievements in any area of culture from this or any other year. Little else shows such skill and dedication from its makers, or is as moving in its sense of beauty and feeling of something larger than ourselves. It is an emotive evocation rather than cerebral narrative, and to this end there is extensive and prominent use of music, and added sound effects. Some find these intrusive, but for me they were very effective. There were a few occasions on which I felt that emphasis on getting in close went too far - for example the fighting Komodo dragons broke from the top of the frame unnecessarily, and the framing of eagles fighting over a carcass felt a little tight. However pushing the boundaries in any field can sometimes mean going too far, and this is surely trivial set against the scale of the achievement. Sequence after sequence is profoundly impressive, and the cumulative effect uniquely wonderful. This is of course worth seeing with the best quality source and the largest, best quality screen you can find. The Blu-ray transfer is excellent.In reviewing last year's outstanding ""The Hunt"" I wrote that I found it hard to imagine how even the BBC wildlife unit could surpass that. Now I see. Can even the BBC wildlife surpass this? Maybe Planet Earth 3?"
"41","robert-kamer","Feb 8, 2007","10","User reviews",NA,NA,"I don't think I can add anything to the previous 10 out of 10 comments, other than that I'd give it a full 11 out of 10 if this were possible. I have seen my share of nature documentaries, but this takes the cake. Utterly awe-inspiring, mesmerizing and brilliant. I own an extensive DVD-collection, but if I had to choose 1 title and had to throw away everything else I had, this would be the one I'd keep. I have no better DVD-title in my collection. Period.David Attenborough is my personal hero. Although he merely provides the commentary for this series (as he did with the also terrific Blue Planet), but his work for the BBC's Natural History division (setting it up and making several brilliant series himself) and his inspiring personality make him one of the true greats.Miss this at your peril."
"42","ANONYMOUS","Nov 19, 2008","10","11 out of 10",NA,NA,"The camera work is truly breathtaking. Such amazing wonders captured on film, areas of the planet unspoiled by human domination. DIfferences in culture seem to play a big part in the reviews of this documentary; some choosing to review based on ""Disney"" like criteria. Criticisms for the apparent emphasis on the viscous and dark side of animals and nature. I guess some people would prefer a nice talking lion and perhaps an Elton john song thrown in.Cutting slack on the sarcasm and returning to the point; This is a must watch documentary for anybody with a sincere appreciation for life and the planet in which we live.An achievement for all those involved in the making to be proud of."
"43","jim-1409","Jan 4, 2009","10","A masterpiece of a documentary",NA,NA,"Thankfully, I caught a couple of these episodes on American television, which led me to this 11-part series on Blu-Ray DVDs and over five hours of outstanding entertaining and education. Looking back, I still shake my head in amazement at the things I saw on these discs.Obviously, the incredible photography and sharpness/color (please see this on high-def, if you can) is the first thing that captures the viewer's eye, but as the series went on I appreciated the objectivity in here (""aw, cute"" shots mixed in with the brutality of existence) and the lack of environmental propaganda, which one usually gets in boatloads in these ""nature"" films. Here, the writers and narrator David Attenborough just present the world as it is. Only at the very end do you get a short environmental message. It isn't needed: the beauty of this earth says it all, and the writers were smart enough to figure that out during this series.After viewing 11 discs, you come to the obvious conclusions that in the Earth's world of animals, birds and fish come only a few objectives: where to find food, water, a mate, and escape being devoured by a predator. That's it, except for pets or zoo animals. On land or in water, it's simply a matter of survival, as this BBC series shows us.What makes this so special is that, thanks to incredible work by cameramen, we are privy to many extraordinary sights we would never see, if left on our own, and never imagined existed on this planet. Much of this series is simply mind-boggling to view, especially all the overhead shots, which were stunning.There are too many positive adjectives I could use to even begin, in recommending you watch this. Just give it a try - any of the 11 segments - and see if you don't want to then watch all of them."
"44","ANONYMOUS","Dec 15, 2006","10","In A Word: Amazing",NA,NA,"The subtitle of the series is not an exaggeration; it has a literal meaning: This is indeed our planet as ""never seen before"". Right from the outset you are witnessing the most amazing pictures modern technology has ever produced: Views from space, but close enough so we may see the glorious beauty of specific regions of our home planet. Birds of paradise of such beauty that can convince you this is the real paradise and you need not ask for anything more; All the creatures are filmed in unique settings and situations (a polar bear with two cubs emerging from their den as spring comes and gliding down a snow covered slope, the strategic genius of wild dogs encircling a herd of impalas, rare views of a snow leopard and her cub, a white shark in chase of a seal bursting completely out of the sea and hanging in the air for a second and hundreds of other breath-taking shots. Feeling happy for the gift you are given and the next moment plunged in bitter thoughts about how unbelievably brutally has mankind treated it. My rating: Definitely 10/10."
"45","ccthemovieman-1","Sep 1, 2007","10","The most amazing achievement in natural history TV has ever given",NA,NA,"I have never, ever given any title a perfect ten. Mainly because I never thought that there will ever be something that truly deserves the praise. I was so wrong. Watching this amazing display of planet earth's resources in high definition is just simply breath taking. In addition David Attenboroughs commentary is spot on. Calm, informative and quiet in just the right places. Sometimes the picture is so beautiful, that one just simply forgets the commentary and just starer in awe on the beauty of the landscapes and other details. Sometimes the director feeds the viewer with juicy bits of slow motion scenes to add to the effect of the moment. I simply can't recommend this title enough to everyone. Just pick it up anywhere you can find it. Spectacular."
"46","ANONYMOUS","Aug 27, 2006","10","Simply put, stunning",NA,NA,"I have seen many nature documentaries in my life and none have left me in such amazement of our planet as this series. The sheer work that went into its making alone is impressive. The shots that are captured on film are like none ever seen and remind us of both the power of mother nature and her fragility. I highly recommend this series to people of all ages as there is something for everyone. If you do watch any of the episodes, do watch ""Pole to Pole"". It is a great all-encompassing view of many animals and their habitats. David Attenborough does a great job as narrator. If you enjoy this series also check out ""The Blue Planet"", a series by the BBC on oceans (also narrated by Attenborough)."
